,artist_name,end_time,ms_played,track_name,track_id
106,Rihanna,2022-05-06 14:11,192863,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i
107,Lil Baby,2022-05-06 14:12,84729,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX
108,NAV,2022-05-06 14:14,5642,Held Me Down,0jiW3PNiHJxOhWh9oPBJ7m
109,NAV,2022-05-06 14:17,160960,Call Me,1xpXnpIpuvzpx9jz15baJF
110,NAV,2022-05-06 14:20,174367,Status (feat. Lil Uzi Vert),6KhmSJf9FvdAcq1tr8LcYD
111,NAV,2022-05-06 14:23,20887,Spend It (feat. Young Thug),40DbNmwrqns3YSYiWBRsXL
112,NAV,2022-05-06 14:23,188117,Codeine (feat. Gunna),6NzuJWrNriXAbSmscAuSIq
113,NAV,2022-05-06 14:23,5526,Saint Laurenttt,2oPQVgCTYqA4FBknwAroWf
114,NAV,2022-05-06 14:24,22291,No Debate (feat. Young Thug),29eSqQBrdva2tPLYMneFzP
115,NAV,2022-05-06 14:24,7662,Overdose,6YgrljJlEvTQonUIw0KXwm
116,NAV,2022-05-06 14:28,228080,Wanted You (feat. Lil Uzi Vert),1Faq8G2y56A8fRv7HsLq25
117,NAV,2022-05-06 14:30,68173,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo
118,Childish Gambino,2022-05-06 14:36,192425,II. Worldstar,79ADanDPMKL9FdjJmdtNj5
119,Gunna,2022-05-06 14:40,199011,Oh Okay (feat. Young Thug & Lil Baby),38844QuZDlnt44uHPrSA3S
120,Viniq,2022-05-06 14:45,268125,Pretty Face,0SS8cxt048udmO99CHHdRp
121,Daniel Caesar,2022-05-06 14:46,54194,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ
122,Unknown Artist,2022-05-06 15:03,1015873,Unknown Track,7eJja8Vmb4TAj46iq283dV
123,NAV,2022-05-06 15:06,174367,Status (feat. Lil Uzi Vert),6KhmSJf9FvdAcq1tr8LcYD
124,Childish Gambino,2022-05-06 15:09,195640,Backpackers,5NHrileSKnB4rAhuvsl46i
125,Future,2022-05-06 15:14,265213,Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA
126,Southside,2022-05-06 15:18,221538,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK
127,Lil Baby,2022-05-06 15:21,187464,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX
128,Future,2022-05-06 15:23,133314,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi
129,Drake,2022-05-06 15:29,383036,Lemon Pepper Freestyle (feat. Rick Ross),4FRW5Nza1Ym91BGV4nFWXI
130,NAV,2022-05-06 15:33,215066,Call Me,1xpXnpIpuvzpx9jz15baJF
131,NAV,2022-05-06 15:37,228106,Held Me Down,0jiW3PNiHJxOhWh9oPBJ7m
132,J. Cole,2022-05-06 15:41,264213,03’ Adolescence,11qa6plS660rrrkf6VJ3cX
133,Childish Gambino,2022-05-06 15:45,233405,Lights Turned On,48otelBlQznqDX6Uuio485
134,Childish Gambino,2022-05-06 15:49,178370,My Shine,146EkdID2XSngct4gG8NQl
135,LSDREAM,2022-05-06 15:52,7523,ETERNAL NOW,3Od1ZJW0O6puhUWFzlg85d
136,Drake,2022-05-06 15:52,126316,TSU,4s7QLoImIwmPi9L6dq1nVW
137,RECIDENT,2022-05-06 15:53,94273,baby girl,2cSdAkzAf2T4j4aLvx4LLz
138,BØRNS,2022-05-06 15:56,185666,The Emotion,03YZnK3XQWKpvo9TyNZzXf
139,A$AP Rocky,2022-05-06 16:03,370776,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",
